2020-08-19 04:19:26 INFO  3:50 - Движение- Игрок BLACK сделал ход фигурой Rook из клетки (a8) в клетку (a7)
2020-08-19 04:19:26 INFO  3:50 - Движение- Игрок WHITE сделал ход фигурой Rook из клетки (g1) в клетку (h1)
2020-08-19 04:19:26 INFO  3:50 - Движение- Игрок BLACK сделал ход фигурой Pawn из клетки (e6) в клетку (e5)
2020-08-19 04:19:27 INFO  3:50 - Движение- Игрок WHITE сделал ход фигурой Bishop из клетки (f1) в клетку (h3)
2020-08-19 04:19:27 INFO  3:50 - Движение- Игрок BLACK сделал ход фигурой King из клетки (g7) в клетку (f6)
2020-08-19 04:19:27 INFO  3:50 - Движение- Игрок WHITE сделал ход фигурой Pawn из клетки (a4) в клетку (a5)
2020-08-19 04:19:28 INFO  3:50 - Движение- Игрок BLACK сделал ход фигурой Pawn из клетки (e5) в клетку (e4)
2020-08-19 04:19:28 INFO  3:50 - Движение- Игрок WHITE сделал ход фигурой King из клетки (e2) в клетку (e1)
2020-08-19 04:19:28 INFO  3:50 - Аттака- Игрок BLACK сделал ход фигурой Pawn из клетки (e4) в клетку (f3)
2020-08-19 04:19:28 INFO  3:50 - Аттака- Игрок WHITE сделал ход фигурой Rook из клетки (c2) в клетку (c8)
2020-08-19 04:19:28 INFO  3:50 - Аттака- Игрок BLACK сделал ход фигурой Queen из клетки (d8) в клетку (c8)
2020-08-19 04:19:29 INFO  3:50 - Движение- Игрок WHITE сделал ход фигурой Pawn из клетки (a5) в клетку (a6)
2020-08-19 04:19:29 INFO  3:50 - Аттака- Игрок BLACK сделал ход фигурой Rook из клетки (a7) в клетку (a6)
2020-08-19 04:19:29 INFO  3:50 - Движение- Игрок WHITE сделал ход фигурой Pawn из клетки (g4) в клетку (g5)
2020-08-19 04:19:29 INFO  3:50 - Аттака- Игрок BLACK сделал ход фигурой King из клетки (f6) в клетку (g5)
2020-08-19 04:19:29 INFO  3:50 - Движение- Игрок WHITE сделал ход фигурой King из клетки (e1) в клетку (d1)
2020-08-19 04:19:30 INFO  3:50 - Движение- Игрок BLACK сделал ход фигурой Rook из клетки (a6) в клетку (b6)
2020-08-19 04:19:30 INFO  3:50 - Движение- Игрок WHITE сделал ход фигурой Rook из клетки (h1) в клетку (h2)
2020-08-19 04:19:30 INFO  3:50 - Движение- Игрок BLACK сделал ход фигурой Queen из клетки (c8) в клетку (d8)
2020-08-19 04:19:30 INFO  3:50 - Движение- Игрок WHITE сделал ход фигурой Rook из клетки (h2) в клетку (d2)
2020-08-19 04:19:30 INFO  3:50 - Аттака- Игрок BLACK сделал ход фигурой Pawn из клетки (e3) в клетку (d2)
2020-08-19 04:19:30 INFO  3:50 - Движение- Игрок WHITE сделал ход фигурой Pawn из клетки (b4) в клетку (b5)
2020-08-19 04:19:31 INFO  3:50 - Движение- Игрок BLACK сделал ход фигурой King из клетки (g5) в клетку (f6)
2020-08-19 04:19:31 INFO  3:50 - Движение- Игрок WHITE сделал ход фигурой Bishop из клетки (h3) в клетку (g4)
2020-08-19 04:19:31 INFO  3:50 - Аттака- Игрок BLACK сделал ход фигурой Knight из клетки (h6) в клетку (g4)
2020-08-19 04:19:31 INFO  3:50 - Движение- Игрок WHITE сделал ход фигурой Pawn из клетки (h5) в клетку (h6)
2020-08-19 04:19:31 INFO  3:50 - Движение- Игрок BLACK сделал ход фигурой Knight из клетки (g4) в клетку (h2)
2020-08-19 04:19:31 INFO  3:50 - Движение- Игрок WHITE сделал ход фигурой King из клетки (d1) в клетку (c2)
2020-08-19 04:19:32 INFO  3:50 - Движение- Игрок BLACK сделал ход фигурой Pawn из клетки (f3) в клетку (f2)
2020-08-19 04:19:32 INFO  3:50 - Движение- Игрок WHITE сделал ход фигурой King из клетки (c2) в клетку (d1)
2020-08-19 04:19:32 INFO  3:50 - Движение- Игрок BLACK сделал ход фигурой Queen из клетки (d8) в клетку (e7)
2020-08-19 04:19:32 INFO  3:50 - Движение- Игрок WHITE сделал ход фигурой Pawn из клетки (g3) в клетку (g4)
2020-08-19 04:19:32 INFO  3:50 - Движение- Игрок BLACK сделал ход фигурой Queen из клетки (e7) в клетку (d8)
2020-08-19 04:19:32 INFO  3:50 - Аттака- Игрок WHITE сделал ход фигурой King из клетки (d1) в клетку (d2)
2020-08-19 04:19:33 INFO  3:50 - Аттака- Игрок BLACK сделал ход фигурой Knight из клетки (h2) в клетку (g4)
2020-08-19 04:19:33 INFO  3:50 - Движение- Игрок WHITE сделал ход фигурой King из клетки (d2) в клетку (c1)
2020-08-19 04:19:33 INFO  3:50 - Аттака- Игрок BLACK сделал ход фигурой Knight из клетки (g4) в клетку (h6)
2020-08-19 04:19:33 INFO  3:50 - Движение- Игрок WHITE сделал ход фигурой King из клетки (c1) в клетку (c2)
2020-08-19 04:19:33 INFO  3:50 - Аттака- Игрок BLACK сделал ход фигурой Rook из клетки (b6) в клетку (b5)
2020-08-19 04:19:33 INFO  3:50 - Движение- Игрок WHITE сделал ход фигурой King из клетки (c2) в клетку (c1)
2020-08-19 04:19:34 INFO  3:50 - Движение- Игрок BLACK сделал ход фигурой Pawn из клетки (b7) в клетку (b6)
2020-08-19 04:19:34 INFO  3:50 - Движение- Игрок WHITE сделал ход фигурой King из клетки (c1) в клетку (d2)
2020-08-19 04:19:34 INFO  3:50 - Движение- Игрок BLACK сделал ход фигурой Rook из клетки (b5) в клетку (c5)
2020-08-19 04:19:34 INFO  3:50 - Движение- Игрок WHITE сделал ход фигурой King из клетки (d2) в клетку (e2)
2020-08-19 04:19:34 INFO  3:50 - Движение- Игрок BLACK сделал ход фигурой Rook из клетки (c5) в клетку (d5)
2020-08-19 04:19:34 INFO  3:50 - Движение- Игрок WHITE сделал ход фигурой King из клетки (e2) в клетку (d1)
2020-08-19 04:19:34 INFO  3:50 - Движение- Игрок BLACK сделал ход фигурой Rook из клетки (d5) в клетку (e5)
2020-08-19 04:19:34 INFO  3:50 - Движение- Игрок WHITE сделал ход фигурой King из клетки (d1) в клетку (c2)
2020-08-19 04:19:35 INFO  3:50 - Движение- Игрок BLACK сделал ход фигурой Rook из клетки (e5) в клетку (f5)
2020-08-19 04:19:35 INFO  3:50 - Движение- Игрок WHITE сделал ход фигурой King из клетки (c2) в клетку (b2)
2020-08-19 04:19:35 INFO  3:50 - Движение- Игрок BLACK сделал ход фигурой Rook из клетки (f5) в клетку (g5)
2020-08-19 04:19:35 INFO  3:50 - Движение- Игрок WHITE сделал ход фигурой King из клетки (b2) в клетку (a1)
2020-08-19 04:19:35 INFO  3:50 - Движение- Игрок BLACK сделал ход фигурой Rook из клетки (g5) в клетку (h5)
2020-08-19 04:19:35 INFO  3:50 - Движение- Игрок WHITE сделал ход фигурой King из клетки (a1) в клетку (a2)
2020-08-19 04:19:36 INFO  3:50 - Движение- Игрок BLACK сделал ход фигурой Rook из клетки (h5) в клетку (g5)
2020-08-19 04:19:36 INFO  3:50 - Движение- Игрок WHITE сделал ход фигурой King из клетки (a2) в клетку (b1)
2020-08-19 04:19:36 INFO  3:50 - Движение- Игрок BLACK сделал ход фигурой Rook из клетки (g5) в клетку (h5)
2020-08-19 04:19:36 INFO  3:50 - Движение- Игрок WHITE сделал ход фигурой King из клетки (b1) в клетку (c1)
2020-08-19 04:19:36 INFO  3:50 - Движение- Игрок BLACK сделал ход фигурой Rook из клетки (h5) в клетку (g5)
2020-08-19 04:19:36 INFO  3:50 - Движение- Игрок WHITE сделал ход фигурой King из клетки (c1) в клетку (b2)
2020-08-19 04:19:36 INFO  3:50 - Движение- Игрок BLACK сделал ход фигурой Rook из клетки (g5) в клетку (h5)
2020-08-19 04:19:37 INFO  3:50 - Движение- Игрок WHITE сделал ход фигурой King из клетки (b2) в клетку (a1)
2020-08-19 04:19:37 INFO  3:50 - Движение- Игрок BLACK сделал ход фигурой Rook из клетки (h5) в клетку (g5)
2020-08-19 04:19:37 INFO  3:50 - Движение- Игрок WHITE сделал ход фигурой King из клетки (a1) в клетку (a2)
2020-08-19 04:19:37 INFO  3:50 - Движение- Игрок BLACK сделал ход фигурой Rook из клетки (g5) в клетку (h5)
2020-08-19 04:19:37 INFO  3:50 - Движение- Игрок WHITE сделал ход фигурой King из клетки (a2) в клетку (b2)
2020-08-19 04:19:37 INFO  3:50 - Движение- Игрок BLACK сделал ход фигурой Rook из клетки (h5) в клетку (g5)
2020-08-19 04:19:37 INFO  3:56 - Конец игры - Ничья: трехкратное повторение позиции
